,Canonical_smiles,Murcko,ClassC,No
5631,COc1ccc(cc1)C2=CC(=O)c3cc(C)ccc3O2,O=c1cc(-c2ccccc2)oc2ccccc12,0,5114
7952,Cc1noc(n1)c2cccc(CN3CCN(CC3)C(=O)c4ccc(C[C@@H]5CC[C@@H](N5)[C@H](O)c6ccccc6)cc4)n2,O=C(c1ccc(CC2CCC(Cc3ccccc3)N2)cc1)N1CCN(Cc2cccc(-c3ncno3)n2)CC1,0,6573
4600,O=C1OCc2cc(CCN3CCN(CCc4ccc5nonc5c4)CC3)ccc12,O=C1OCc2cc(CCN3CCN(CCc4ccc5nonc5c4)CC3)ccc21,1,2210
7899,O=C1N(Cc2ccccc2)c3sc4CN(CC5CCOCC5)CCc4c3c6ncnn16,O=c1n(Cc2ccccc2)c2sc3c(c2c2ncnn12)CCN(CC1CCOCC1)C3,1,4812
2603,Cc1c(cc(c2ccccc2)n1C)C(=O)NCCCN3CCN(CC3)c4cccc(Cl)c4Cl,O=C(NCCCN1CCN(c2ccccc2)CC1)c1c[nH]c(-c2ccccc2)c1,1,7590
4289,CC(C)(C)c1cc(CN2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)cc(c1)C(C)(C)C,c1ccc(CN2CCN(CCCCCC(c3ccccc3)c3ccccc3)CC2)cc1,1,1117
5367,C[C@H]1COCCN1c2nc(N3CCOC[C@@H]3C)c4ccc(nc4n2)c5ccc6N=CNC(=O)c6c5,O=c1[nH]cnc2ccc(-c3ccc4c(N5CCOCC5)nc(N5CCOCC5)nc4n3)cc12,0,3127
7170,Cn1c(SCCCN2CC3CCN(C3C2)c4ccc(cc4)C(F)(F)F)nnc1c5nccs5,c1ccc(N2CCC3CN(CCCSc4nnc(-c5nccs5)[nH]4)CC32)cc1,1,1054
1026,Cc1cc(c2oc3ccc4CCN(CCCSc5nnc(c6ocnc6C)n5C)CCc4c3n2)n(C)n1,c1cc(-c2nc3c4c(ccc3o2)CCN(CCCSc2nnc(-c3cnco3)[nH]2)CC4)[nH]n1,1,7206
6769,COc1cccc2nc(CCCN(C)CC[C@@]3(C[C@H]4CCC[C@@H]3c5ccccc45)OC(=O)C(C)C)[nH]c12,c1ccc2c(c1)C1CCCC2C(CCNCCCc2nc3ccccc3[nH]2)C1,1,2200
7621,Cc1ncoc1c2nnc(SCCN3CC[C@]4(C[C@@H]4c5ccc(cc5)C(F)(F)F)C3)n2C,c1ccc(C2CC23CCN(CCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,7204
6499,O[C@@]1(CC23CCC(CC2)(CO3)NCc4c(Cl)cc5OCCOc5c4Cl)CN6C(=O)C=Cc7ncc(F)c1c67,O=c1ccc2nccc3c2n1CC3CC12CCC(NCc3ccc4c(c3)OCCO4)(CC1)CO2,0,5931
3873,Fc1ccc(Cn2c(nc3ccccc23)[C@H]4CNCCS4)cc1,c1ccc(Cn2c(C3CNCCS3)nc3ccccc32)cc1,1,1583
7237,COc1cc2c(CC\C(=N/N3CCN(C)CC3)\C2(C)C)cc1Nc4ncc(Cl)c(Nc5ccccc5S(=O)(=O)C(C)C)n4,c1ccc(Nc2ccnc(Nc3ccc4c(c3)CCC(=NN3CCNCC3)C4)n2)cc1,0,7497
323,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,0,5343
5176,C[n+]1c(COc2ccccc2)cccc1COc3ccccc3,c1ccc(OCc2cccc(COc3ccccc3)[nH+]2)cc1,1,7491
2287,COc1ccc(CCN2[C@H](CN(NS(=O)(=O)C)C2=O)c3ccc(OC)cc3)cc1,O=C1NCC(c2ccccc2)N1CCc1ccccc1,0,5473
6740,O=C1COc2ccc(CNC3CCN(CCN4C(=O)C=Cc5ncc(O[C@@H]6CCOC6)cc45)CC3)nc2N1,O=C1COc2ccc(CNC3CCN(CCn4c(=O)ccc5ncc(OC6CCOC6)cc54)CC3)nc2N1,0,5433
6010,COc1cc(OC)c(\C=C\S(=O)(=O)Cc2cnc(OC)c(N)c2)c(OC)c1,O=S(=O)(C=Cc1ccccc1)Cc1cccnc1,0,3188
1077,CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ccccn3,O=C(Nc1ccccn1)C1=Cc2sccc2S(=O)(=O)N1,0,4994
2778,Cc1ncccc1Oc2ncc(Cl)cc2NS(=O)(=O)c3ccc(Cl)c(Cl)c3,O=S(=O)(Nc1cccnc1Oc1cccnc1)c1ccccc1,0,3372
693,COc1cccc(CN2CCC(CC2)NC(=O)C3=CC(=O)c4ccc(F)cc4O3)c1,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc(=O)c2ccccc2o1,1,3345
7182,Oc1ccc(cc1)c2c[nH]c(n2)[C@H]3Cc4c([nH]c5ccccc45)[C@H](N3)C6CCOCC6,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CCOCC4)N3)n2)cc1,1,2966
8103,Cc1ccc(c(c1)C(=O)N2C[C@@]3(F)CN(C[C@@]3(F)C2)c4oc5ccc(Cl)cc5n4)n6nccn6,O=C(c1ccccc1-n1nccn1)N1CC2CN(c3nc4ccccc4o3)CC2C1,0,2799
2145,O=C(NC1CC1c2ccccc2)N3CCC(CC3)c4ocnn4,O=C(NC1CC1c1ccccc1)N1CCC(c2nnco2)CC1,0,5988
7616,Cc1ncoc1c2nnc(SCCCN3CC[C@]4(C[C@H]4c5ccc(cc5F)C(F)(F)F)C3)n2C,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,3754
1062,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,c1ccc(Nc2ccncn2)cc1,0,8247
7817,Cl.Cl.COCCCC(=O)NCCN1CCC[C@@H]1CN2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O,O=c1c2ccccc2c(Cc2ccccc2)nn1CC1CCCN1,1,3180
5830,Cl.Cl.Cl.Cl.Cc1[nH]c(cc1C(=O)NCCCN2CCN(CC2)c3cccc(Cl)c3Cl)c4ccccn4,O=C(NCCCN1CCN(c2ccccc2)CC1)c1c[nH]c(-c2ccccn2)c1,1,6187
5004,COCC[C@H](Oc1ncnc2c1cnn2c3ccccc3OC)C(=O)Nc4ccc(C)cn4,O=C(COc1ncnc2c1cnn2-c1ccccc1)Nc1ccccn1,0,973
6997,Fc1ccc(cc1)n2ncc3C[C@@]4(CN(CCC4=Cc23)S(=O)(=O)c5ccc(F)cc5)C(=O)c6ccccn6,O=C(c1ccccn1)C12Cc3cnn(-c4ccccc4)c3C=C1CCN(S(=O)(=O)c1ccccc1)C2,1,3503
80,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,C1=CC(c2ccccc2)C=CN1,0,3970
609,COc1cccc(CN2CCCCCCC2)c1OCc3csc(n3)c4ccccc4,c1ccc(-c2nc(COc3ccccc3CN3CCCCCCC3)cs2)cc1,1,6878
7711,COc1ncccc1c2nnc(SCCCN3CC[C@]4(C[C@@H]4c5ccc(cc5)C(F)(F)F)C3)n2C,c1ccc(C2CC23CCN(CCCSc2nnc(-c4cccnc4)[nH]2)C3)cc1,1,8179
204,COc1ccc(cc1)C2C(=O)c3ccccc3C2=O,O=C1c2ccccc2C(=O)C1c1ccccc1,0,3322
1155,O=C(N1Cc2ccccc2C1)N3CCC[C@H]3CN4CCCC4,O=C(N1Cc2ccccc2C1)N1CCCC1CN1CCCC1,0,1031
2827,Cl.CCOC(=O)CCc1ccc(OC[C@H](O)CNC(C)(C)Cc2ccc3ccccc3c2)c(c1)C#N,c1ccc(OCCCNCCc2ccc3ccccc3c2)cc1,1,3507
6181,CN1C[C@H](c2ccc3sccc3c2)c4ccc(cc4C1)N5CCOCC5,c1cc2cc(C3CNCc4cc(N5CCOCC5)ccc43)ccc2s1,1,9
18,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,1,225
5533,COc1cc2nnc(C(=O)N)c(Nc3ccc(C)cc3F)c2cc1N4CCOCC4,c1ccc(Nc2cnnc3ccc(N4CCOCC4)cc23)cc1,0,3992
6433,COc1ccc2ncc(C#N)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,1319
1060,COc1cc(CNC(=O)CCCC\C=C\C(C)C)ccc1O,c1ccccc1,0,134
4726,OC(=O)c1ccc(CN2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)cc1,c1ccc(CN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,0,3139
7262,CC(C)(C)NC(=O)C1N(Cc2ccccc2c3ccccc3)C(=O)c4cc(ccc14)C#N,O=C1c2ccccc2CN1Cc1ccccc1-c1ccccc1,0,3762
6548,C1CCC(CC1)C2N[C@H](Cc3c2[nH]c4ccccc34)c5nc(c[nH]5)c6ccccn6,c1ccc(-c2c[nH]c(C3Cc4c([nH]c5ccccc45)C(C4CCCCC4)N3)n2)nc1,1,3647
2144,CC(C)C(Cn1ccnc1)NC(=O)NC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2,O=C(NCCn1ccnc1)NC1CCN(Cc2ccn(-c3ccccc3)c2)CC1,0,1836
1096,O=C1[C@H](CCN1Cc2ccccc2)N(CCCc3ccccc3)Cc4cncn4Cc5ccc(cc5)C#N,O=C1C(N(CCCc2ccccc2)Cc2cncn2Cc2ccccc2)CCN1Cc1ccccc1,1,1331
2960,Cc1ncoc1c2nnc(SCCCN3CCC4(CCCc5cc(Br)ccc45)C3)n2C,c1ccc2c(c1)CCCC21CCN(CCCSc2nnc(-c3cnco3)[nH]2)C1,1,277
8315,CCc1noc(n1)c2nnc3[C@@H](C)N(CCn23)C(=O)c4ccc(cc4)c5cccs5,O=C(c1ccc(-c2cccs2)cc1)N1CCn2c(nnc2-c2ncno2)C1,0,2603
6716,NC1CC1COc2ccc3ncc(F)c(CCC45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6)c3n2,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(OCC7CC7)nc56)(CC3)OC4)nc2N1,1,4473
4146,CN1CCN(CCCNc2oc(nn2)c3ccc(NC(=O)c4ccccc4F)cc3)CC1,O=C(Nc1ccc(-c2nnc(NCCCN3CCNCC3)o2)cc1)c1ccccc1,0,1125
672,COc1ccc2c(nc(C#N)c(c3cccc(F)c3)c2c1)n4cnc(C)c4,c1ccc(-c2cnc(-n3ccnc3)c3ccccc23)cc1,0,3802
795,OC=O.O=C(N1CCN(C(=O)C1)c2ccc(OC3CCN(CC3)C4CCCC4)cc2)c5ccc(cc5)C#N,O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCCC4)CC3)cc2)C(=O)C1,0,3255
1172,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0,465
5934,CCOC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccccn4,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1ccccn1,0,7304
2593,C[C@@H]1CCCN1CCc2ccc3nc(ccc3c2)c4cnc(s4)c5ccccc5,c1ccc(-c2ncc(-c3ccc4cc(CCN5CCCC5)ccc4n3)s2)cc1,1,4774
1084,Clc1cccc(CN2CC[C@H](NCc3cncn3Cc4ccc(cc4)C#N)C2=O)c1,O=C1C(NCc2cncn2Cc2ccccc2)CCN1Cc1ccccc1,1,4605
7571,Fc1ccc(CCN2CC3CN(CCNS(=O)(=O)c4ccc(F)cc4)CC(C2)O3)cc1,O=S(=O)(NCCN1CC2CN(CCc3ccccc3)CC(C1)O2)c1ccccc1,0,3594
6903,C[C@H]1CCCN1Cc2nc3cc(C)ccc3n2Cc4ccc(Cl)cc4,c1ccc(Cn2c(CN3CCCC3)nc3ccccc32)cc1,1,7155
6064,Nc1nc(cn1CC(O)c2ccc(cc2Cl)C(F)(F)F)c3ccc(F)cc3,c1ccc(CCn2cnc(-c3ccccc3)c2)cc1,0,3099
5738,COC1COCCC1N[C@@H]2C[C@H]3CNC[C@]3(C2)C(=O)N4CCc5ncc(cc5C4)C(F)(F)F,O=C(N1CCc2ncccc2C1)C12CNCC1CC(NC1CCOCC1)C2,0,7193
19,COc1cc(NS(=O)(=O)C)ccc1Nc2c3ccccc3nc4ccccc24,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,1,4669
6217,CNCCN(C)c1cc(OC)c(Nc2nccc(n2)c3cn(C)c4ccccc34)cc1NC(=O)C=C,c1ccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)cc1,0,8074
3244,COc1ccc(cc1)[C@H]2CN(CCc3cccc(OC)c3)C[C@@H]2CNC(=O)c4cccc(Cl)c4,O=C(NCC1CN(CCc2ccccc2)CC1c1ccccc1)c1ccccc1,1,5634
3114,O=C1C=C(OCc2ccccc2)C=CN1c3ccc(OCCN4CCCC4)cc3,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1,6464
6114,COc1ccc2ncc(F)c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)c2n1,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,4488
3569,CN(C)C1(CNC(=O)N2CCC(CC2)c3onc(n3)c4ccc5ccccc5n4)CCCC1,O=C(NCC1CCCC1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,0,2153
5916,COC[C@H](Oc1ncnc2c1cnn2c3ncccc3Cl)C(=O)Nc4ccc(C)cn4,O=C(COc1ncnc2c1cnn2-c1ccccn1)Nc1ccccn1,0,6426
8251,CCOC(=O)C1=C(CN2CCO[C@@H](CCC(=O)O)C2)NC(=N[C@H]1c3ccc(F)cc3Br)c4nccs4,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,0,6414
3207,COc1ccc(CC(=O)Nc2cc3[C@H](NC4CC4)[C@@H](O)C(C)(C)Oc3cc2[N+](=O)[O-])cc1,O=C(Cc1ccccc1)Nc1ccc2c(c1)C(NC1CC1)CCO2,0,3913
536,CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5,O=c1ccnc(NC2CCN(c3nc4ccccc4n3Cc3ccccc3)CC2)[nH]1,1,1879
1131,Nc1nc(N)c2nc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cnc2n1,c1ccc(NCc2cnc3ncncc3n2)cc1,0,2414
6307,CO[C@]1(CC23CCC(CC2)(CO3)NCc4ccc5OCC(=O)Nc5n4)CN6C(=O)C=Cc7ncc(F)c1c67,O=C1COc2ccc(CNC34CCC(CC5Cn6c(=O)ccc7nccc5c76)(CC3)OC4)nc2N1,0,8250
6068,Nc1nc2ccc(Cl)cc2n1CC(O)c3cccc(Cl)c3Cl,c1ccc(CCn2cnc3ccccc32)cc1,0,4746
1329,Clc1ccc2c(c1)c(cn2c3ccccc3)C4CCN(CCN5CCNC5=O)CC4,O=C1NCCN1CCN1CCC(c2cn(-c3ccccc3)c3ccccc23)CC1,1,2896
6886,Fc1ccc(NS(=O)(=O)c2ccc(Oc3ccc(C#N)c(Cl)c3)c(c2)C#N)nc1,O=S(=O)(Nc1ccccn1)c1ccc(Oc2ccccc2)cc1,0,7621
4374,COc1cc(ncn1)N2C(=O)N(C(=O)C23CCN(Cc4ncccc4C)CC3)c5ccc(cc5)c6ccc(cc6)C(=O)N,O=C1N(c2ccc(-c3ccccc3)cc2)C(=O)C2(CCN(Cc3ccccn3)CC2)N1c1ccncn1,1,8020
149,CN(C)CCCN1c2ccccc2Sc3ccccc13,c1ccc2c(c1)Nc1ccccc1S2,0,6798
6466,Cc1cc(nc2c(CCC34CCC(CC3)(CO4)NCc5ccc6OCC(=O)Nc6n5)ccnc12)C#N,O=C1COc2ccc(CNC34CCC(CCc5ccnc6cccnc56)(CC3)OC4)nc2N1,1,4226
3145,CN(CCOc1ccc(cc1)N2C=CC(=CC2=O)OCc3ccccc3)Cc4ccccc4,O=c1cc(OCc2ccccc2)ccn1-c1ccc(OCCNCc2ccccc2)cc1,1,6780
3691,CCOC(=O)[C@@H]1CC[C@@H](CC1)N2CC(C2)NC(=O)CNc3nn(c4ccc(cc34)C(F)(F)F)S(=O)(=O)C,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCCCC2)C1,0,5862
7241,Cc1cc(F)ccc1C2CCN(CC3Cc4c(Cl)ccc(O)c4CN3)CC2,c1ccc(C2CCN(CC3Cc4ccccc4CN3)CC2)cc1,1,5053
1797,CN(C)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13,c1ccc(-n2ccc3ccccc32)cc1,1,5507
300,NC1=NCC2N1c3ccccc3Cc4ccccc24,C1=NCC2c3ccccc3Cc3ccccc3N12,0,7556
2646,CC(C)C(N1CCOCC1)C(O)(c2ccccc2)c3ccccc3,c1ccc(C(CN2CCOCC2)c2ccccc2)cc1,0,6622
2951,NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccncc4)c1,c1ccc(OC2CC3CCC(C2)N3Cc2ccncc2)cc1,1,1878
3974,CCN(C1CCN(CCC(N2CCN(CC2)S(=O)(=O)C)c3ccccc3)CC1)C(=O)Cc4ccc(cc4)S(=O)(=O)C,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)N2CCNCC2)CC1,0,692
5283,Clc1ccc(cc1)C2CNCC=CC2,C1=CCC(c2ccccc2)CNC1,0,3670
7462,CN1C(=O)Oc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@@H]4CNCCCO4)C#N)cc3,O=C(NCCc1ccc(-c2ccc3oc(=O)[nH]c3c2)cc1)C1CNCCCO1,0,4133
896,Nc1ccccc1NC(=O)c2ccc(cc2)c3ncc(CN4CCC4)cc3Cl,O=C(Nc1ccccc1)c1ccc(-c2ccc(CN3CCC3)cn2)cc1,0,1603
5711,O[C@H](COc1cccc2OCC(=O)Nc12)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,O=C1COc2cccc(OCCCN3CCC4(CC3)Cc3ccccc3O4)c2N1,1,6694
359,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,0,38
2200,Cn1cnc(c1)C(=O)N(C[C@@H]2[C@H]3CN(CC4CCCC4)C[C@@H]23)Cc5cccc(OC(F)(F)F)c5,O=C(c1c[nH]cn1)N(Cc1ccccc1)CC1C2CN(CC3CCCC3)CC21,1,3887
2839,Cn1cc(Cl)c(n1)C(=O)N2CCN(CC(=O)c3ccc(F)cc3)CC2,O=C(CN1CCN(C(=O)c2cc[nH]n2)CC1)c1ccccc1,0,5454
3535,COc1cc(ccc1n2cnc(C)c2)c3cn(Cc4cc(Br)cc(Br)c4)nn3,c1ccc(Cn2cc(-c3ccc(-n4ccnc4)cc3)nn2)cc1,1,2455
6106,CN(C)c1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc23)c1C,c1cnc2ccn(Cc3ccncn3)c2c1,0,4147
3401,O[C@]1(CN2CCC1CC2)C#Cc3ccc(Oc4ccc(cc4)C(=O)NCc5ccncn5)cc3,O=C(NCc1ccncn1)c1ccc(Oc2ccc(C#CC3CN4CCC3CC4)cc2)cc1,0,1346
3703,Cn1nc(NCC(=O)NC2CN(C2)[C@@H]3CC[C@@H](CC3)c4nccs4)c5cc(ccc15)C(F)(F)F,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCC(c3nccs3)CC2)C1,0,5995
5480,O[C@H](COc1cc(F)ccc1C(=O)NC2CC2)CN3CCC4(CC3)Cc5cc(Cl)ccc5O4,O=C(NC1CC1)c1ccccc1OCCCN1CCC2(CC1)Cc1ccccc1O2,1,2177
772,Oc1ccc(cc1F)[C@@]2(O)CC[C@@H](CC2)NC(=O)CCc3ccccc3,O=C(CCc1ccccc1)NC1CCC(c2ccccc2)CC1,0,1135
4283,CC(C)(C)c1cc(CN2CCN(CCCCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2)cc(c1O)C(C)(C)C,c1ccc(CN2CCN(CCCCCC(c3ccccc3)c3ccccc3)CC2)cc1,1,6746
3697,Cc1ccc(cn1)[C@@H]2CC[C@@H](CC2)N3CC(C3)NC(=O)CNc4n[nH]c5ccc(cc45)C(F)(F)F,O=C(CNc1n[nH]c2ccccc12)NC1CN(C2CCC(c3cccnc3)CC2)C1,0,972
3253,COc1ccc(cc1)[C@H]2CN(CCc3ccc(OC)c(OC)c3)C[C@@H]2CCc4nc5ccc(Cl)cc5[nH]4,c1ccc(CCN2CC(CCc3nc4ccccc4[nH]3)C(c3ccccc3)C2)cc1,1,6854
3446,ONC(=O)\C=C\c1ccc2CN(Cc2c1)S(=O)(=O)Cc3ccccc3,O=S(=O)(Cc1ccccc1)N1Cc2ccccc2C1,0,504
5153,OCC[C@]1(CCCCNC1)c2ccc(Cl)c(Cl)c2,c1ccc(C2CCCCNC2)cc1,0,5717
4433,Cc1ccc(Nc2c(nc3n2CCN(C(=O)C(C)(C)N)C3(C)C)c4ccc(F)cc4)cc1,c1ccc(Nc2c(-c3ccccc3)nc3n2CCNC3)cc1,0,2358
3570,CCNC1(CNC(=O)N2CCC(CC2)c3onc(n3)c4ccc5ccccc5n4)CCCC1,O=C(NCC1CCCC1)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,0,479
6131,CN(C)c1ccc(\C=C\c2c(F)cccc2F)cn1,C(=Cc1cccnc1)c1ccccc1,0,1377
2042,COc1cccc(c1)C2CCCN(CCN3CCN(C3=O)c4cccc(Cl)c4)C2,O=C1N(CCN2CCCC(c3ccccc3)C2)CCN1c1ccccc1,1,8149
8053,NC(=O)c1cnc(N[C@H]2CNCC[C@@H]2O)c3cc(sc13)c4ccccc4,c1ccc(-c2cc3c(NC4CCCNC4)nccc3s2)cc1,0,1636
2474,Cc1ccc2c(cccc2n1)c3nnc(SCCCN4CC5CC5(C4)c6ccc(Cl)c(Cl)c6)n3C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cccc5ncccc45)[nH]2)C3)cc1,1,7390
6130,CN(C)c1ccc(\C=C\c2c(F)cccc2Cl)nc1,C(=Cc1ccccn1)c1ccccc1,0,2064
2931,C[C@@H](N1[C@@H]2CC[C@H]1C[C@@H](C2)Oc3cccc(c3)C(=O)N)c4ccnc(Cl)c4,c1ccc(OC2CC3CCC(C2)N3Cc2ccncc2)cc1,1,8258
7660,O=S(=O)(CCN1CC2CN(Cc3ccc(cc3)C#N)CC(C1)O2)Nc4ccc(cc4)C#N,O=S(=O)(CCN1CC2CN(Cc3ccccc3)CC(C1)O2)Nc1ccccc1,0,7629
523,CO[C@@H]1CN(CCCOc2ccc(F)cc2)CC[C@@H]1NC(=O)c3cc(Cl)c(N)cc3OC,O=C(NC1CCN(CCCOc2ccccc2)CC1)c1ccccc1,1,418
4062,Cc1c(C)n(Cc2ccccc2)c3ncnc(OC4CCN(Cc5cscn5)CC4)c13,c1ccc(Cn2ccc3c(OC4CCN(Cc5cscn5)CC4)ncnc32)cc1,1,7488
2259,O\N=C(/c1ccc(CN2CCC3(CC2)OCc4cc(F)ncc34)cc1)\c5ccc(F)c(F)c5,N=C(c1ccccc1)c1ccc(CN2CCC3(CC2)OCc2ccncc23)cc1,1,4121
5621,[O-][N+](=O)c1ccc(CCN2CCN(CC2)C(=O)Cc3ccc(cc3)n4cnnn4)cc1,O=C(Cc1ccc(-n2cnnn2)cc1)N1CCN(CCc2ccccc2)CC1,1,2275
5974,CC(C)N(C)[C@@H]1CC[C@@H]([C@H](CS(=O)(=O)C(C)C)C1)N2CC[C@H](NC(=O)c3cccc(c3)C(F)(F)F)C2=O,O=C(NC1CCN(C2CCCCC2)C1=O)c1ccccc1,0,345
383,COc1ccc2[nH]c(nc2c1)[S+]([O-])Cc3ncc(C)c(OC)c3C,c1ccc(C[SH+]c2nc3ccccc3[nH]2)nc1,0,6889
2449,Cc1ncoc1c2nnc(SCCCN3CC4CC4(C3)c5cccc(F)c5)n2C,c1ccc(C23CC2CN(CCCSc2nnc(-c4cnco4)[nH]2)C3)cc1,1,5405
3599,Oc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccccc54)CC3)nc2N1,0,976
8255,CN1N=C(C=CC1=O)N2CC3(CCN(C[C@H](O)c4ccc5C(=O)OCc5c4C)CC3)C2,O=C1OCc2cc(CCN3CCC4(CC3)CN(c3ccc(=O)[nH]n3)C4)ccc21,0,301
6675,OC(=O)[C@H]1C[C@@H]1COc2ccc3ncc(F)c(CCC45CCC(CC4)(CO5)NCc6ccc7OCC(=O)Nc7n6)c3n2,O=C1COc2ccc(CNC34CCC(CCc5ccnc6ccc(OCC7CC7)nc56)(CC3)OC4)nc2N1,0,2766
5551,CC1CCCN(C1C)C(=O)c2csc(Nc3ccc(C)cc3)n2,O=C(c1csc(Nc2ccccc2)n1)N1CCCCC1,0,1016
2691,CN(C)CCC1=C(Cc2cccnn2)c3ccc(Cl)cc3C1,C1=C(Cc2cccnn2)c2ccccc2C1,1,1091
7282,CC(C)(C)NC(=O)C1N(Cc2cc(F)ccc2c3ccccc3)C(=O)c4ccccc14,O=C1c2ccccc2CN1Cc1ccccc1-c1ccccc1,0,6240
3094,C(N1CCN(Cc2oc(nn2)c3ccccc3)CC1)c4ccccc4,c1ccc(CN2CCN(Cc3nnc(-c4ccccc4)o3)CC2)cc1,0,6452
4337,FC(F)(F)c1ccc(NC(=O)N2CCN(C[C@@H]3CCCN(C3)C4CC4)CC2)cc1Cl,O=C(Nc1ccccc1)N1CCN(CC2CCCN(C3CC3)C2)CC1,1,5355
6287,CC(C)(C)n1ncc2CC3(CCN(CC3)C(=O)c4ccc5[nH]ncc5c4)CC(=O)c12,O=C1CC2(CCN(C(=O)c3ccc4[nH]ncc4c3)CC2)Cc2cn[nH]c21,0,4493
3455,ONC(=O)\C=C\c1ccc2CN(Cc2c1)S(=O)(=O)c3ccc(cc3)C(F)(F)F,O=S(=O)(c1ccccc1)N1Cc2ccccc2C1,0,3985
4414,Fc1ccc(cc1)N(CCNCCCc2ccccc2)c3ccc(F)cc3,c1ccc(CCCNCCN(c2ccccc2)c2ccccc2)cc1,1,7573
3876,CC1(C)NCCc2c1oc3cc(ccc23)S(=O)(=O)c4cccc(F)c4,O=S(=O)(c1ccccc1)c1ccc2c3c(oc2c1)CNCC3,1,4162
449,Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O,O=C1CCC2C3Cc4cccc5c4C2(CCN3CC2CC2)C1O5,0,8271
5687,CCCCCCCN(CC)CC#CC(c1ccccc1)c2ccccc2,c1ccc(Cc2ccccc2)cc1,1,5976
7963,C[S+]([O-])c1nc(c2ccc(F)cc2)c(c3ccnc(N)c3)n1C,c1ccc(-c2nc[nH]c2-c2ccncc2)cc1,0,7223
5212,CCc1cc(ccc1C)C(SC[C@H](N)C(=O)O)(c2ccccc2)c3ccccc3,c1ccc(C(c2ccccc2)c2ccccc2)cc1,0,1985
